Fips_code,Whether Overwhelmed Within 6 weeks
01001,0
01003,0
01005,0
01007,1
01009,1
01011,0
01013,0
01015,0
01017,1
01019,1
01021,0
01023,0
01025,1
01027,0
01029,1
01031,1
01033,0
01035,0
01037,1
01039,0
01041,1
01043,1
01045,0
01047,0
01049,1
01051,1
01053,0
01055,0
01057,0
01059,0
01061,0
01063,0
01065,1
01067,1
01069,0
01071,1
01073,0
01075,1
01077,0
01079,0
01081,0
01083,0
01085,0
01087,0
01089,0
01091,0
01093,0
01095,0
01097,0
01099,0
01101,0
01103,0
01105,0
01107,0
01109,0
01111,1
01113,0
01115,1
01117,0
01119,0
01121,0
01123,0
01125,0
01127,1
01129,1
01131,0
01133,0
02013,0
02016,0
02020,0
02050,1
02060,0
02068,0
02070,0
02090,0
02100,0
02105,0
02110,0
02122,1
02130,0
02150,0
02158,1
02164,0
02170,0
02180,0
02185,1
02188,0
02195,0
02198,0
02220,0
02230,0
02240,0
02261,0
02275,0
02282,0
02290,0
04001,1
04003,1
04005,0
04007,1
04009,1
04011,1
04012,0
04013,0
04015,0
04017,0
04019,1
04021,0
04023,0
04025,0
04027,0
05001,1
05003,0
05005,0
05007,0
05009,0
05011,0
05013,0
05015,1
05017,0
05019,0
05021,1
05023,1
05025,0
05027,0
05029,0
05031,0
05033,0
05035,1
05037,1
05039,0
05041,1
05043,0
05045,0
05047,1
05049,1
05051,0
05053,1
05055,0
05057,0
05059,1
05061,0
05063,0
05065,1
05067,1
05069,0
05071,0
05073,0
05075,1
05077,0
05079,1
05081,1
05083,1
05085,1
05087,0
05089,1
05091,1
05093,0
05095,0
05097,0
05099,1
05101,0
05103,0
05105,0
05107,0
05109,0
05111,1
05113,0
05115,0
05117,0
05119,0
05121,0
05123,0
05125,0
05127,1
05129,0
05131,0
05133,1
05135,1
05137,0
05139,0
05141,0
05143,0
05145,0
05147,1
05149,0
06001,0
06003,0
06005,0
06007,0
06009,0
06011,0
06013,0
06015,0
06017,0
06019,0
06021,1
06023,0
06025,0
06027,0
06029,0
06031,1
06033,0
06035,0
06037,0
06039,0
06041,0
06043,0
06045,0
06047,0
06049,0
06051,0
06053,0
06055,0
06057,0
06059,0
06061,0
06063,0
06065,0
06067,0
06069,0
06071,0
06073,0
06075,0
06077,0
06079,0
06081,0
06083,0
06085,0
06087,0
06089,0
06091,0
06093,0
06095,0
06097,0
06099,0
06101,1
06103,0
06105,0
06107,0
06109,0
06111,0
06113,0
06115,0
08001,0
08003,0
08005,0
08007,0
08009,0
08011,0
08013,1
08014,0
08015,0
08017,0
08019,0
08021,0
08023,0
08025,0
08027,0
08029,0
08031,0
08033,0
08035,0
08037,1
08039,1
08041,0
08043,1
08045,0
08047,0
08049,0
08051,0
08053,0
08055,0
08057,0
08059,0
08061,0
08063,0
08065,0
08067,0
08069,0
08071,0
08073,0
08075,1
08077,0
08079,0
08081,0
08083,0
08085,0
08087,0
08089,0
08091,0
08093,0
08095,0
08097,0
08099,1
08101,0
08103,0
08105,0
08107,0
08109,0
08111,0
08113,0
08115,0
08117,0
08119,1
08121,0
08123,1
08125,0
09001,0
09003,0
09005,1
09007,0
09009,0
09011,0
09013,1
09015,0
10001,0
10003,0
10005,0
11001,0
12001,0
12003,1
12005,0
12007,1
12009,0
12011,0
12013,1
12015,0
12017,0
12019,0
12021,0
12023,0
12027,0
12029,0
12031,0
12033,0
12035,0
12037,1
12039,1
12041,1
12043,0
12045,0
12047,0
12049,1
12051,1
12053,0
12055,0
12057,0
12059,1
12061,0
12063,0
12065,1
12067,0
12069,0
12071,0
12073,0
12075,1
12077,0
12079,0
12081,0
12083,0
12085,0
12086,0
12087,0
12089,0
12091,0
12093,0
12095,0
12097,0
12099,0
12101,0
12103,0
12105,0
12107,1
12109,0
12111,0
12113,0
12115,0
12117,0
12119,1
12121,1
12123,0
12125,1
12127,0
12129,1
12131,0
12133,1
13001,0
13003,0
13005,0
13007,0
13009,0
13011,0
13013,0
13015,0
13017,0
13019,0
13021,0
13023,1
13025,1
13027,0
13029,1
13031,0
13033,0
13035,0
13037,0
13039,0
13043,0
13045,0
13047,1
13049,0
13051,0
13053,1
13055,1
13057,0
13059,0
13061,0
13063,0
13065,0
13067,0
13069,0
13071,0
13073,1
13075,0
13077,0
13079,0
13081,0
13083,1
13085,1
13087,0
13089,0
13091,0
13093,0
13095,0
13097,0
13099,0
13101,0
13103,1
13105,0
13107,0
13109,0
13111,0
13113,0
13115,0
13117,0
13119,0
13121,0
13123,1
13125,0
13127,0
13129,0
13131,0
