ID,Name,FIPS,STATE,Re_median,Re_2.5pct,Re_97.5pct,totalcases
1,Autauga County AL,01001,01,0.91,0.73,1.15,17836.4285714286
2,Baldwin County AL,01003,01,0.91,0.77,1.17,63251.2857142857
3,Barbour County AL,01005,01,0.96,0.86,1.07,6332.66666666667
4,Bibb County AL,01007,01,0.81,0.69,0.96,7123
5,Blount County AL,01009,01,1.02,0.84,1.24,16218.3469387755
6,Bullock County AL,01011,01,0.73,0.61,0.87,2734.14285714286
7,Butler County AL,01013,01,0.83,0.72,1.01,5669.85714285714
8,Calhoun County AL,01015,01,0.94,0.53,1.34,35019.3401360544
9,Chambers County AL,01017,01,0.86,0.72,1.01,9666.55102040816
10,Cherokee County AL,01019,01,0.88,0.74,1.05,5697.71428571428
11,Chilton County AL,01021,01,1.16,0.88,1.4,12053.1428571429
12,Choctaw County AL,01023,01,0.95,0.77,1.16,2241.42857142858
13,Clarke County AL,01025,01,0.86,0.76,0.99,7982.77551020407
14,Clay County AL,01027,01,0.94,0.79,1.18,4630.78571428571
15,Cleburne County AL,01029,01,0.98,0.75,1.18,3827.42857142857
16,Coffee County AL,01031,01,0.86,0.7,1.12,15154.8571428571
17,Colbert County AL,01033,01,0.88,0.78,1.09,18424.5306122449
18,Conecuh County AL,01035,01,0.68,0.5,0.87,3278.57142857143
19,Coosa County AL,01037,01,1.43,1.09,1.73,3361.2380952381
20,Covington County AL,01039,01,1.01,0.8,1.22,10384
21,Crenshaw County AL,01041,01,0.78,0.61,0.92,4242.09523809524
22,Cullman County AL,01043,01,0.92,0.74,1.1,27439.7142857143
23,Dale County AL,01045,01,0.86,0.65,1.04,14343.0952380953
24,Dallas County AL,01047,01,0.86,0.71,1.08,9838.90476190475
25,DeKalb County AL,01049,01,1.07,0.86,1.28,20320.1785714285
26,Elmore County AL,01051,01,0.9,0.72,1.11,26716.4285714286
27,Escambia County AL,01053,01,0.96,0.82,1.11,11277.2006802721
28,Etowah County AL,01055,01,1.02,0.89,1.23,31195.2653061224
29,Fayette County AL,01057,01,1.16,0.94,1.36,5309.19047619048
30,Franklin County AL,01059,01,0.86,0.75,1.01,10592.9761904762
31,Geneva County AL,01061,01,1.16,0.96,1.37,6946.45238095238
32,Greene County AL,01063,01,0.59,0.44,0.75,2113.14285714285
33,Hale County AL,01065,01,0.86,0.75,0.98,5341.28571428571
34,Henry County AL,01067,01,1.17,0.97,1.41,5025.90476190476
35,Houston County AL,01069,01,0.88,0.69,1.09,28088.5
36,Jackson County AL,01071,01,1.01,0.88,1.16,16316.7755102041
37,Jefferson County AL,01073,01,0.89,0.71,1.14,209139.904761905
38,Lamar County AL,01075,01,0.77,0.62,0.94,4127.38095238095
39,Lauderdale County AL,01077,01,1.01,0.84,1.2,26780.0442176871
40,Lawrence County AL,01079,01,1.08,0.86,1.27,8243.85714285714
41,Lee County AL,01081,01,1.22,1.01,1.44,41389.6768707483
42,Limestone County AL,01083,01,0.94,0.77,1.12,28055.5238095238
43,Lowndes County AL,01085,01,0.48,0.37,0.62,2996.85714285714
44,Macon County AL,01087,01,0.97,0.78,1.16,4585.42857142857
45,Madison County AL,01089,01,0.88,0.73,1.11,103455.428571429
46,Marengo County AL,01091,01,0.86,0.72,1.02,5869.57142857144
47,Marion County AL,01093,01,1.06,0.88,1.27,8856.36904761907
48,Marshall County AL,01095,01,0.99,0.79,1.23,29709.1428571429
49,Mobile County AL,01097,01,0.94,0.7,1.22,126563.285714286
50,Monroe County AL,01099,01,1.11,0.96,1.26,6047.53571428571
51,Montgomery County AL,01101,01,0.82,0.66,1.01,64530.9761904761
52,Morgan County AL,01103,01,0.91,0.79,1.14,39903.4285714287
53,Perry County AL,01105,01,0.84,0.7,0.98,2462.28571428572
54,Pickens County AL,01107,01,0.76,0.6,0.87,5723.61904761905
55,Pike County AL,01109,01,0.81,0.68,0.93,8147.57142857144
56,Randolph County AL,01111,01,1.13,0.94,1.35,5646.28571428572
57,Russell County AL,01113,01,1.02,0.79,1.33,11050
58,St. Clair County AL,01115,01,1.19,0.97,1.44,28130.5238095238
59,Shelby County AL,01117,01,1.09,0.93,1.3,66789.5714285714
60,Sumter County AL,01119,01,1.14,0.93,1.32,2968.46938775511
61,Talladega County AL,01121,01,0,0,0,25037.2857142857
62,Tallapoosa County AL,01123,01,0,0,0,13030.8571428572
63,Tuscaloosa County AL,01125,01,1,0.82,1.21,62455.5238095238
64,Walker County AL,01127,01,0.97,0.8,1.19,20982.2857142857
65,Washington County AL,01129,01,0.83,0.68,0.97,4017.61904761906
66,Wilcox County AL,01131,01,0.49,0.36,0.64,3295.85714285714
67,Winston County AL,01133,01,1,0.84,1.2,8280.59523809524
68,Aleutians East Borough AK,02013,02,0.47,0.39,0.53,1191.38095238095
69,Aleutians West Census Area AK,02016,02,0.47,0.4,0.54,1866.64285714286
70,Anchorage Municipality AK,02020,02,0.87,0.71,1.11,116312.357142857
